id,Questions,category,category_name,,,,,
0,크레스티드 게코 정의가 뭐에요?,크레스티드 게코의 정의,define,,,,,
,게코 정의에 대해서 말해주세요. ,크레스티드 게코의 정의,define,,,,,
,크레스티드 게코 정의가 뭘까요?,크레스티드 게코의 정의,define,,,,,
,크레스티드 게코 정의를 설명해주세요.,크레스티드 게코의 정의,define,,,,,
,크레 정의가 뭐에요?,크레스티드 게코의 정의,define,,,,,
,크레 정의에 대해서 말해주세요. ,크레스티드 게코의 정의,define,,,,,
,크레 정의가 뭘까요?,크레스티드 게코의 정의,define,,,,,
,크레 정의를 설명해주세요.,크레스티드 게코의 정의,define,,,,,
1,크레스티드 게코 유래가 뭐에요?,크레스티드 게코의 유래,origin,,,,,
,게코 유래에 대해서 말해주세요. ,크레스티드 게코의 유래,origin,,,,,
,크레스티드 게코 유래가 뭘까요?,크레스티드 게코의 유래,origin,,,,,
,크레스티드 게코 유래를 설명해주세요.,크레스티드 게코의 유래,origin,,,,,
,크레 유래가 뭐에요?,크레스티드 게코의 유래,origin,,,,,
,크레 유래에 대해서 말해주세요. ,크레스티드 게코의 유래,origin,,,,,
,크레 유래가 뭘까요?,크레스티드 게코의 유래,origin,,,,,
,크레 유래를 설명해주세요.,크레스티드 게코의 유래,origin,,,,,
,크레 유래,크레스티드 게코의 유래,origin,,,,,
2,크레스티드 게코 사육현황과 전망에 대해서 설명해주세요.,크레스티드 게코의 사육현황과 전망,feeding_condition,,,,,
,크레스티드 게코 사육현황에 대해서 설명해주세요.,크레스티드 게코의 사육현황과 전망,feeding_condition,,,,,
,크레스티드 게코 전망에 대해서 설명해주세요.,크레스티드 게코의 사육현황과 전망,feeding_condition,,,,,
,크레스티드 게코 사육현황이 어떻게 될까요?,크레스티드 게코의 사육현황과 전망,feeding_condition,,,,,
,크레스티드 게코 전망이 어떻게 될까요? ,크레스티드 게코의 사육현황과 전망,feeding_condition,,,,,
,크레 사육현황과 전망에 대해서 설명해주세요.,크레스티드 게코의 사육현황과 전망,feeding_condition,,,,,
,크레 사육현황에 대해서 설명해주세요.,크레스티드 게코의 사육현황과 전망,feeding_condition,,,,,
,크레 전망에 대해서 설명해주세요.,크레스티드 게코의 사육현황과 전망,feeding_condition,,,,,
,크레 사육현황이 어떻게 될까요?,크레스티드 게코의 사육현황과 전망,feeding_condition,,,,,
,크레 전망이 어떻게 될까요? ,크레스티드 게코의 사육현황과 전망,feeding_condition,,,,,
,크레 전망,크레스티드 게코의 사육현황과 전망,feeding_condition,,,,,
,크레 사육현황,크레스티드 게코의 사육현황과 전망,feeding_condition,,,,,
3,크레스티드 게코 신체구조와 특성에 대해서 설명해주세요.,크레스티드 게코의 신체구조와 특성,body_structure,,,,,
,크레스티드 게코 신체구조에 대해서 설명해주세요.,크레스티드 게코의 신체구조와 특성,body_structure,,,,,
,크레스티드 게코 특성에 대해서 설명해주세요.,크레스티드 게코의 신체구조와 특성,body_structure,,,,,
,크레스티드 게코 신체구조가 어떻게 될까요?,크레스티드 게코의 신체구조와 특성,body_structure,,,,,
,크레스티드 게코 특성이 어떻게 될까요? ,크레스티드 게코의 신체구조와 특성,body_structure,,,,,
,크레의 신체구조와 특성에 대해서 설명해주세요.,크레스티드 게코의 신체구조와 특성,body_structure,,,,,
,크레의 신체구조에 대해서 설명해주세요.,크레스티드 게코의 신체구조와 특성,body_structure,,,,,
,크레의 특성에 대해서 설명해주세요.,크레스티드 게코의 신체구조와 특성,body_structure,,,,,
,크레의 신체구조가 어떻게 될까요?,크레스티드 게코의 신체구조와 특성,body_structure,,,,,
,크레의 특성이 어떻게 될까요? ,크레스티드 게코의 신체구조와 특성,body_structure,,,,,
,크레 특성,크레스티드 게코의 신체구조와 특성,body_structure,,,,,
,크레 신체구조,크레스티드 게코의 신체구조와 특성,body_structure,,,,,
4,크레스티드 게코 머리 구조에 대해서 설명해주세요.,머리 구조,head,,,,,
,크레스티드 게코 머리가 어떻게 생겼는지 알려줘,머리 구조,head,,,,,
,크레스티드 게코 머리가 어떻게 생겼니?,머리 구조,head,,,,,
,크레스티드 게코 머리는 뭐가 들었지?,머리 구조,head,,,,,
,크레스티드 게코 머리는 어떻게 생겼을까요?,머리 구조,head,,,,,
,크레의 머리 구조에 대해서 설명해주세요.,머리 구조,head,,,,,
,크레의 머리가 어떻게 생겼는지 알려줘,머리 구조,head,,,,,
,크레의 머리가 어떻게 생겼니?,머리 구조,head,,,,,
,크레의 머리는 뭐가 들었지?,머리 구조,head,,,,,
,크레의 머리는 어떻게 생겼을까요?,머리 구조,head,,,,,
,크레 머리,머리 구조,head,,,,,
,크레 머리 구조,머리 구조,head,,,,,
,크레 대가리,머리 구조,head,,,,,
,크레 대갈빡,머리 구조,head,,,,,
5,크레스티드 게코 돌기와 볏 구조에 대해서 설명해주세요.,"돌기(crest), 볏 구조",comb,,,,,
,크레스티드 게코 돌기가 어떻게 생겼는지 알려줘,"돌기(crest), 볏 구조",comb,,,,,
,크레스티드 게코 볏이 어떻게 생겼는지 알려줘,"돌기(crest), 볏 구조",comb,,,,,
,크레스티드 게코 돌기가 어떻게 생겼니?,"돌기(crest), 볏 구조",comb,,,,,
,크레스티드 게코 볏이 어떻게 생겼니?,"돌기(crest), 볏 구조",comb,,,,,
,크레스티드 게코 돌기가 어떤 구조로 되어있어?,"돌기(crest), 볏 구조",comb,,,,,
,크레스티드 게코 볏이 어떤 구조로 되어있어?,"돌기(crest), 볏 구조",comb,,,,,
,크레의 돌기와 볏 구조에 대해서 설명해주세요.,"돌기(crest), 볏 구조",comb,,,,,
,크레의 돌기가 어떻게 생겼는지 알려줘,"돌기(crest), 볏 구조",comb,,,,,
,크레의 볏이 어떻게 생겼는지 알려줘,"돌기(crest), 볏 구조",comb,,,,,
,크레의 돌기가 어떻게 생겼니?,"돌기(crest), 볏 구조",comb,,,,,
,크레의 볏이 어떻게 생겼니?,"돌기(crest), 볏 구조",comb,,,,,
,크레의 돌기가 어떤 구조로 되어있어?,"돌기(crest), 볏 구조",comb,,,,,
,크레의 볏이 어떤 구조로 되어있어?,"돌기(crest), 볏 구조",comb,,,,,
,크레스티드 게코 등이 어떻게 생겼는지 알려줘,"돌기(crest), 볏 구조",comb,,,,,
,크레의 등이 어떤 구조로 되어있어?,"돌기(crest), 볏 구조",comb,,,,,
,크레 돌기,"돌기(crest), 볏 구조",comb,,,,,
,크레 볏,"돌기(crest), 볏 구조",comb,,,,,
,크레 등,"돌기(crest), 볏 구조",comb,,,,,
7,크레스티드 게코 눈 구조에 대해서 설명해주세요.,눈 구조,eyes,,,,,
,크레스티드 게코 눈이 어떻게 생겼는지 알려줘,눈 구조,eyes,,,,,
,크레스티드 게코 눈이 어떻게 생겼니?,눈 구조,eyes,,,,,
,크레스티드 게코 눈의 구조에 대해서 설명해줘,눈 구조,eyes,,,,,
,크레스티드 게코 눈은 어떻게 생겼을까요?,눈 구조,eyes,,,,,
,크레의 눈 구조에 대해서 설명해주세요.,눈 구조,eyes,,,,,
,크레의 눈이 어떻게 생겼는지 알려줘,눈 구조,eyes,,,,,
,크레의 눈이 어떻게 생겼니?,눈 구조,eyes,,,,,
,크레의 눈의 구조에 대해서 설명해줘,눈 구조,eyes,,,,,
,크레의 눈은 어떻게 생겼을까요?,눈 구조,eyes,,,,,
,크레 눈,눈 구조,eyes,,,,,
,크레 눈알,눈 구조,eyes,,,,,
,크레 눈깔,눈 구조,eyes,,,,,
,크레 눈 구조,눈 구조,eyes,,,,,
,크레 눈알 구조,눈 구조,eyes,,,,,
8,크레스티드 게코 귀 구조에 대해서 설명해주세요.,귀,ear,,,,,
,크레스티드 게코 귀이 어떻게 생겼는지 알려줘,귀,ear,,,,,
,크레스티드 게코 귀이 어떻게 생겼니?,귀,ear,,,,,
,크레스티드 게코 귀의 구조에 대해서 설명해줘,귀,ear,,,,,
,크레스티드 게코 귀는 어떻게 생겼을까요?,귀,ear,,,,,
,크레의 귀 구조에 대해서 설명해주세요.,귀,ear,,,,,
,크레의 귀이 어떻게 생겼는지 알려줘,귀,ear,,,,,
,크레의 귀이 어떻게 생겼니?,귀,ear,,,,,
,크레의 귀의 구조에 대해서 설명해줘,귀,ear,,,,,
,크레의 귀는 어떻게 생겼을까요?,귀,ear,,,,,
,크레 귀,귀,ear,,,,,
,크레 귀 구조,귀,ear,,,,,
,크레 귀팝,귀,ear,,,,,
9,크레스티드 게코 입의 구조에 대해서 설명해주세요.,입과 혀,lips,,,,,
,크레스티드 게코 혀의 구조에 대해서 설명해주세요.,입과 혀,lips,,,,,
,크레스티드 게코 입이 어떻게 생겼는지 알려줘,입과 혀,lips,,,,,
,크레스티드 게코 혀가 어떻게 생겼는지 알려줘,입과 혀,lips,,,,,
,크레스티드 게코 입이 어떻게 생겼니?,입과 혀,lips,,,,,
,크레스티드 게코 혀가 어떻게 생겼니?,입과 혀,lips,,,,,
,크레스티드 게코 입의 구조에 대해서 설명해줘,입과 혀,lips,,,,,
,크레스티드 게코 혀의 구조에 대해서 설명해줘,입과 혀,lips,,,,,
,크레스티드 게코 입이 어떻게 생겼을까요?,입과 혀,lips,,,,,
,크레스티드 게코 혀가 어떻게 생겼을까요?,입과 혀,lips,,,,,
,크레의 입의 구조에 대해서 설명해주세요.,입과 혀,lips,,,,,
,크레의 혀의 구조에 대해서 설명해주세요.,입과 혀,lips,,,,,
,크레의 입이 어떻게 생겼는지 알려줘,입과 혀,lips,,,,,
,크레의 혀가 어떻게 생겼는지 알려줘,입과 혀,lips,,,,,
,크레의 입이 어떻게 생겼니?,입과 혀,lips,,,,,
,크레의 혀가 어떻게 생겼니?,입과 혀,lips,,,,,
,크레의 입의 구조에 대해서 설명해줘,입과 혀,lips,,,,,
,크레의 혀의 구조에 대해서 설명해줘,입과 혀,lips,,,,,
,크레의 입이 어떻게 생겼을까요?,입과 혀,lips,,,,,
,크레의 혀가 어떻게 생겼을까요?,입과 혀,lips,,,,,
,크레 입 구조,입과 혀,lips,,,,,
,크레 입,입과 혀,lips,,,,,
,크레 혀,입과 혀,lips,,,,,
,크레 혀 구조,입과 혀,lips,,,,,
,크레 혀바닥,입과 혀,lips,,,,,
,크레 입술,입과 혀,lips,,,,,
10,크레스티드 게코 다리 구조에 대해서 설명해주세요.,다리,leg,,,,,
,크레스티드 게코 다리가 어떻게 생겼는지 알려줘,다리,leg,,,,,
,크레스티드 게코 다리가 어떻게 생겼니?,다리,leg,,,,,
,크레스티드 게코 다리의 구조에 대해서 설명해줘,다리,leg,,,,,
,크레스티드 게코 다리는 어떻게 생겼을까요?,다리,leg,,,,,
,크레스티드 게코 다리가 궁금해,다리,leg,,,,,
,크레의 다리 구조에 대해서 설명해주세요.,다리,leg,,,,,
,크레의 다리가 어떻게 생겼는지 알려줘,다리,leg,,,,,
,크레의 다리가 어떻게 생겼니?,다리,leg,,,,,
,크레의 다리의 구조에 대해서 설명해줘,다리,leg,,,,,
,크레의 다리는 어떻게 생겼을까요?,다리,leg,,,,,
