id,Questions,category,category_name,,,,,
0,크레스티드 게코 정의,크레스티드 게코의 정의,define,,,,,
,크레 정의,크레스티드 게코의 정의,define,,,,,
,게코 정의,크레스티드 게코의 정의,define,,,,,
,크레 뜻,크레스티드 게코의 정의,define,,,,,
1,크레스티드 게코 유래,크레스티드 게코의 유래,origin,,,,,
,크레 유래,크레스티드 게코의 유래,origin,,,,,
,게코 유래,크레스티드 게코의 유래,origin,,,,,
2,크레 사육현황,크레스티드 게코의 사육현황과 전망,feeding_condition,,,,,
,크레 미래 전망,크레스티드 게코의 사육현황과 전망,feeding_condition,,,,,
,크레스티드 게코 미래 전망,크레스티드 게코의 사육현황과 전망,feeding_condition,,,,,
,크레스티드 게코 사육현황,크레스티드 게코의 사육현황과 전망,feeding_condition,,,,,
3,크레스티드 게코 신체구조,크레스티드 게코의 신체구조와 특성,body_structure,,,,,
,크레 신체구조,크레스티드 게코의 신체구조와 특성,body_structure,,,,,
,크레 신체구조 특성,크레스티드 게코의 신체구조와 특성,body_structure,,,,,
4,크레 머리,머리 구조,head,,,,,
,크레 머리 구조,머리 구조,head,,,,,
,크레스티드 게코 머리 구조,머리 구조,head,,,,,
5,크레 돌기,"돌기(crest), 볏 구조",comb,,,,,
,크레 볏,"돌기(crest), 볏 구조",comb,,,,,
,크레 등,"돌기(crest), 볏 구조",comb,,,,,
,크레스티드 게코 돌기,"돌기(crest), 볏 구조",comb,,,,,
,크레스티드 게코 등,"돌기(crest), 볏 구조",comb,,,,,
,크레스티드 게코 볏,"돌기(crest), 볏 구조",comb,,,,,
7,크레 눈,눈 구조,eyes,,,,,
,크레 눈 구조,눈 구조,eyes,,,,,
8,크레 귀,귀,ear,,,,,
,크레 귀 구조,귀,ear,,,,,
9,크레 입,입과 혀,lips,,,,,
,크레 입 구조,입과 혀,lips,,,,,
,크레 혀,입과 혀,lips,,,,,
,크레 혀 구조,입과 혀,lips,,,,,
10,크레 다리,다리,leg,,,,,
,크리 다리 구조,다리,leg,,,,,
11,크레 발,발과 발가락,foot,,,,,
,크레 발가락,발과 발가락,foot,,,,,
,크레 발 구조,발과 발가락,foot,,,,,
,크레 발가락 구조,발과 발가락,foot,,,,,
12,크레 꼬리,꼬리,tail,,,,,
,크레 꼬리 구조,꼬리,tail,,,,,
,크레스티드 게코 꼬리,꼬리,tail,,,,,
13,크레스티드 게코 배설기관에 대해서 설명해주세요.,총배설강,cloaca,,,,,
,크레스티드 게코 배설기관이 어떻게 생겼는지 알려줘,총배설강,cloaca,,,,,
,크레스티드 게코 배설기관이 어떻게 생겼니?,총배설강,cloaca,,,,,
,크레스티드 게코 배설기관의 구조에 대해서 설명해줘,총배설강,cloaca,,,,,
,크레스티드 게코 배설기관은 어떻게 생겼을까요?,총배설강,cloaca,,,,,
,크레스티드 게코 배설기관이 궁금해,총배설강,cloaca,,,,,
,크레의 배설기관에 대해서 설명해주세요.,총배설강,cloaca,,,,,
,크레의 배설기관이 어떻게 생겼는지 알려줘,총배설강,cloaca,,,,,
,크레의 배설기관이 어떻게 생겼니?,총배설강,cloaca,,,,,
,크레의 배설기관의 구조에 대해서 설명해줘,총배설강,cloaca,,,,,
,크레의 배설기관은 어떻게 생겼을까요?,총배설강,cloaca,,,,,
,크레의 배설기관이 궁금해,총배설강,cloaca,,,,,
,크레 배설기관,총배설강,cloaca,,,,,
14,크레스티드 게코 피부에 대해서 설명해주세요.,피부,skin,,,,,
,크레스티드 게코 피부가 어떻게 생겼는지 알려줘,피부,skin,,,,,
,크레스티드 게코 피부가 어떻게 생겼니?,피부,skin,,,,,
,크레스티드 게코 피부의 구조에 대해서 설명해줘,피부,skin,,,,,
,크레스티드 게코 피부는 어떻게 생겼을까요?,피부,skin,,,,,
,크레스티드 게코 피부가 궁금해,피부,skin,,,,,
,크레의 피부에 대해서 설명해주세요.,피부,skin,,,,,
,크레의 피부가 어떻게 생겼는지 알려줘,피부,skin,,,,,
,크레의 피부가 어떻게 생겼니?,피부,skin,,,,,
,크레의 피부의 구조에 대해서 설명해줘,피부,skin,,,,,
,크레의 피부는 어떻게 생겼을까요?,피부,skin,,,,,
,크레의 피부가 궁금해,피부,skin,,,,,
,크레 피부,피부,skin,,,,,
,크레 피부 구조,피부,skin,,,,,
,크레 스킨,피부,skin,,,,,
,크레 스킨 구조,피부,skin,,,,,
15,크레스티드 게코 내부장기에 대해서 설명해주세요.,내부장기,in_organ,,,,,
,크레스티드 게코 내부장기가 어떻게 생겼는지 알려줘,내부장기,in_organ,,,,,
,크레스티드 게코 내부장기는 어떻게 생겼니?,내부장기,in_organ,,,,,
